company_name,job_type,base_salary,industry,company_size,founded,rating,company_type,sector,range_salary,min_salary,max_salary,avg_salary,company_txt,company_age
"ExodusPoint Capital Management Hong Kong, Limited
3.2", Full-time,HK$210K - HK$368K (Glassdoor Est.), Finance,501 to 1000 ,2017,3.2,Company - Private,Finance,1,210,368,289.0,"ExodusPoint Capital Management Hong Kong, Limited",4
5 Miles Lab Company Limited, Full-time,HK$180K - HK$336K (Employer Est.), N/A,N/A,2021,-1.0,,,1,180,336,258.0,5 Miles Lab Company Limited,0
JustOneGalaxy Recruitment, Full-time,HK$180K - HK$480K (Employer Est.), N/A,N/A,2021,-1.0,,,1,180,480,330.0,JustOneGalaxy Recruitment,0
Commonwealth Bank, Full-time,HK$192K - HK$300K (Glassdoor Est.), N/A,Unknown,2021,-1.0,Company - Public,,1,192,300,246.0,Commonwealth Bank,0
A Start Personnel Limited, Full-time,HK$264K - HK$360K (Employer Est.), N/A,Unknown,2021,-1.0,Company - Private,,1,264,360,312.0,A Start Personnel Limited,0
"BGC Group Pte Ltd
3.4", Full-time,HK$180K - HK$240K (Employer Est.), Business Services,51 to 200 ,2005,3.4,Company - Public,Business Services,1,180,240,210.0,BGC Group Pte Ltd,16
Robustus Investment Management, Full-time,HK$300K (Employer Est.), N/A,N/A,2021,-1.0,,,0,300,300,300.0,Robustus Investment Management,0
"Momenta
3.0", Full-time,HK$180K (Employer Est.), Manufacturing,1 to 50 ,1971,3.0,Company - Private,Manufacturing,0,180,180,180.0,Momenta,50
Aspen Digital, Full-time,HK$216K (Employer Est.), N/A,N/A,2021,-1.0,,,0,216,216,216.0,Aspen Digital,0
"Momenta
3.0", Full-time,HK$180K (Employer Est.), Manufacturing,1 to 50 ,1971,3.0,Company - Private,Manufacturing,0,180,180,180.0,Momenta,50
"Citi
3.9", Full-time,HK$173K - HK$348K (Glassdoor Est.), Finance,10000+ ,1812,3.9,Company - Public,Finance,1,173,348,260.5,Citi,209
"Momenta
3.0", Full-time,HK$180K (Employer Est.), Manufacturing,1 to 50 ,1971,3.0,Company - Private,Manufacturing,0,180,180,180.0,Momenta,50
